"","Player","Team","MarketValue","Age","Matches","Contract","Goals","Assists","Minutes","Height","AtClub","BothFeet","OwnGoals","Yellow","YellowRed","Red","SubOn","SubOff","Position"
"189","Jakob Jantscher","NEC Nijmegen",1500000,25,26,1,3,5,1833,181,1,1,0,2,0,0,4,12,"Forward"
"190","Rajiv van La Parra","sc Heerenveen",1500000,22,30,0,5,8,1753,181,3,0,0,4,0,0,11,11,"Forward"
"191","Giliano Wijnaldum","FC Groningen",1e+06,21,26,1,1,2,2127,181,1,0,0,5,0,0,3,1,"Defender"
"192","Dario Vujicevic","Heracles Almelo",6e+05,24,2,0,0,0,90,181,2,1,0,1,0,0,1,1,"Midfielder"
"193","Sjoerd Overgoor","Go Ahead Eagles Deventer",4e+05,25,34,1,0,3,2814,181,2,0,0,4,0,0,0,13,"Midfielder"
"194","Martijn de Zwart","ADO Den Haag",1e+05,23,3,0,0,0,172,181,3,0,0,0,0,0,3,0,"Goalkeeper"
"195","Uros Djurdjevic","Vitesse",1e+06,20,6,4,0,0,57,181,0.5,0,0,0,0,0,6,0,"Forward"
"196","Joshua Brenet","PSV Eindhoven",750000,20,12,2,0,0,1010,181,1,0,0,0,0,0,2,0,"Defender"
"197","Cedric Badjeck","FC Utrecht",250000,19,3,1,1,0,107,181,2,0,0,0,0,0,2,0,"Forward"
"198","Arnold Kruiswijk","sc Heerenveen",750000,29,27,0,0,0,2373,182,3,0,0,4,0,0,0,2,"Defender"
"199","Niklas Moisander","AFC Ajax",6500000,28,23,1,1,2,1986,182,2,1,0,0,0,0,1,0,"Defender"
"200","Ard van Peppen","Roda JC Kerkrade",750000,28,31,2,0,1,2732,182,1,0,0,5,1,0,0,2,"Defender"
"201","Paul Mulders","SC Cambuur-Leeuwarden",2e+05,33,3,0,0,0,38,182,0.5,0,0,0,0,0,3,0,"Midfielder"
"202","Kenneth Vermeer","AFC Ajax",4500000,28,10,1,0,0,855,182,9,0,0,0,0,0,0,1,"Goalkeeper"
"203","Peter Jungschläger","RKC Waalwijk",3e+05,29,21,1,0,2,1245,182,2,0,0,1,0,0,8,3,"Midfielder"
"204","Joey van den Berg","sc Heerenveen",9e+05,28,29,2,4,3,2222,182,1.5,0,0,6,0,1,3,6,"Midfielder"
"205","Christian Dorda","FC Utrecht",450000,25,16,1,0,0,1073,182,0.5,0,0,0,0,0,5,1,"Defender"
"206","Arnaud Sutchuin Djoum","Roda JC Kerkrade",6e+05,25,22,0,0,0,1605,182,5.5,0,0,1,0,0,3,5,"Midfielder"
"207","Ben Rienstra","Heracles Almelo",7e+05,23,32,0,1,2,2830,182,4,0,0,5,0,0,0,2,"Midfielder"
"208","Nick Viergever","AZ Alkmaar",4e+06,24,33,1,3,3,2892,182,4,0,1,3,0,1,0,0,"Defender"
"209","Adam Sarota","FC Utrecht",8e+05,25,15,3,0,0,1007,182,4,0,0,0,0,1,2,7,"Midfielder"
"210","Joël Veltman","AFC Ajax",3500000,22,24,4,2,2,2141,182,2,0,0,2,0,0,0,1,"Defender"
"211","Steven Berghuis","AZ Alkmaar",1e+06,22,25,3,8,6,1404,182,2,0,0,1,0,0,10,8,"Forward"
"212","Kyle Ebecilio","FC Twente Enschede",2e+06,20,34,3,7,3,2838,182,1,0,0,4,0,0,1,12,"Midfielder"
"213","Lucas Piazón","Vitesse",7e+06,20,29,0,11,8,2106,182,1,0,0,3,0,0,5,9,"Forward"
"214","Jorrit Hendrix","PSV Eindhoven",1e+06,19,20,3,0,3,1196,182,1,0,0,1,0,0,7,3,"Defender"
"215","Jairo Riedewald","AFC Ajax",250000,17,5,1,2,0,282,182,0.5,0,0,1,0,0,2,0,"Defender"
