FIPS,DemRep,state_abbr,Clinton,Trump,population2014,population2010,population_change,ageunder5,ageunder18,age65plus,femaleperc,white,black,native,asian,hawaiian,morerace,hispanic,whitealone,home1year,foreignborn,nonenglish,eduhighschool,edubachelor,veteranperc,traveltime,houses,houseown,housemulti,households,pphousehold,income,poverty,retailsales,landarea,density
6017,Rep,CA,39.49769131,53.38346707,183087,181057,1.1,4.4,20.9,18,49.9,89.8,1,1.3,4,0.2,3.6,0.127,78.7,85.5,8.7,12.5,93.2,32,9.171596017,28.8,88866,74.8,11.8,67885,2.64,34884,9,9216,1707.88,106
6019,Dem,CA,49.41182112,45.53151872,965974,930452,3.8,8.3,28.9,11.2,50.1,77.2,5.9,3,10.7,0.3,3,0.519,30.9,83.6,21.9,43.7,73.1,19.6,4.44566831,22.1,324126,53.8,25.9,289811,3.18,20208,26,11022,5957.99,156.2
6021,Rep,CA,32.67939013,61.71233607,27955,28122,-0.6,7,26.7,14.9,49.6,90,1.2,2.9,3,0.2,2.7,0.404,53,86.6,17.2,36.1,72.3,14.6,5.415846897,21.8,10917,63.1,13.3,9628,2.87,22148,18.8,7320,1313.95,21.4
6023,Dem,CA,58.25900821,32.35521465,134809,134623,0.1,5.4,19.5,15.4,50,84,1.4,6.2,2.8,0.3,5.4,0.108,75.5,81.2,5.7,9.7,90.4,27.5,7.742064699,17.5,62348,55.9,19.9,53296,2.44,23540,20.4,13428,3567.99,37.7
6025,Dem,CA,68.62700032,26.7704772,179091,174528,2.6,8.3,28.5,12,48.9,89.7,3.5,2.6,2.3,0.2,1.7,0.823,12.3,84,32.3,74.5,64.5,13.3,3.576394124,20.8,56972,56.4,21.3,48099,3.42,16763,23.3,10771,4176.6,41.8
6027,Rep,CA,39.45722861,53.12656328,18410,18546,-0.7,6,20.6,21.4,49.9,81.4,1,12.8,1.6,0.1,3.1,0.209,64.3,88.2,10.4,14.9,88.1,21.4,9.342748506,14.8,9513,64.1,11,7873,2.3,27441,12.8,13876,10180.88,1.8
6029,Rep,CA,39.72028936,54.73142726,874589,839631,4.2,8.4,29.4,9.9,48.7,82.7,6.3,2.6,5,0.3,3,0.515,36.2,80.4,20.6,42.1,72.4,15,5.117032115,23.6,291454,58,18.5,255271,3.19,20295,22.9,10037,8131.92,103.3
6031,Rep,CA,40.00620155,54.09612403,150269,152982,-1.8,7.9,27.5,9.1,44.8,81.3,7.3,3,4.4,0.3,3.6,0.532,33.7,81.1,20.1,42.8,71,12.9,7.060005723,21.4,44864,51.8,19.7,40785,3.28,18429,21,7017,1389.42,110.1
6033,Dem,CA,47.83441932,44.09352242,64184,64665,-0.7,5.8,20.4,20.6,50,87.7,2.1,4.1,1.4,0.3,4.5,0.191,72.1,80.7,8.6,14.2,85.4,16.2,10.55870622,27.5,35657,62.7,7.7,26505,2.38,21537,25,8630,1256.46,51.5
6035,Rep,CA,21.33947419,72.67319133,31749,34895,-9,4.5,17,12.5,36.3,81.6,8.8,4.2,1.4,0.6,3.4,0.185,66,71.1,7,17.7,79.4,13.1,9.823931462,19.4,12741,62.9,13.4,9945,2.36,19931,16.9,7440,4541.18,7.7
